"","V1","V2","V3"
"181",1,1,"Baseline (EN Max)"
"182",1,1,"Baseline (EN Max)"
"183",1,1,"Baseline (EN Max)"
"184",1,1,"Baseline (EN Max)"
"185",1,1,"Baseline (EN Max)"
"186",1,1,"Baseline (EN Max)"
"187",1,1,"Baseline (EN Max)"
"188",1,1,"Baseline (EN Max)"
"189",1,1,"Baseline (EN Max)"
"190",1,1,"Baseline (EN Max)"
"191",1,1,"Baseline (EN Max)"
"192",1,1,"Baseline (EN Max)"
"193",1,1,"Baseline (EN Max)"
"194",1,1,"Baseline (EN Max)"
"195",1,1,"Baseline (EN Max)"
"196",1,1,"Baseline (EN Max)"
"197",1,1,"Baseline (EN Max)"
"198",1,1,"Baseline (EN Max)"
"199",1,1,"Baseline (EN Max)"
"200",1,1,"Baseline (EN Max)"
"201",0.00154340836012862,0.002,"Baseline (EN Mean)"
"202",0.00779742765273312,0.0075,"Baseline (EN Mean)"
"203",0.0139710610932476,0.0155,"Baseline (EN Mean)"
"204",0.02016077170418,0.023,"Baseline (EN Mean)"
"205",0.0279742765273312,0.03,"Baseline (EN Mean)"
"206",0.0342765273311897,0.034,"Baseline (EN Mean)"
"207",0.0404823151125401,0.041,"Baseline (EN Mean)"
"208",0.0578295819935692,0.0569999999999999,"Baseline (EN Mean)"
"209",0.0734887459807075,0.0714999999999999,"Baseline (EN Mean)"
"210",0.22991961414791,0.2265,"Baseline (EN Mean)"
"211",0.505675241157556,0.5,"Baseline (EN Mean)"
"212",0.750289389067524,0.747,"Baseline (EN Mean)"
"213",0.853086816720257,0.849,"Baseline (EN Mean)"
"214",0.89967845659164,0.897,"Baseline (EN Mean)"
"215",0.972926045016077,0.9705,"Baseline (EN Mean)"
"216",0.973118971061093,0.9705,"Baseline (EN Mean)"
"217",0.973311897106109,0.9705,"Baseline (EN Mean)"
"218",0.982363344051447,0.9805,"Baseline (EN Mean)"
"219",1,1,"Baseline (EN Mean)"
"220",1,1,"Baseline (EN Mean)"
"221",1,1,"Baseline (EN Mean)"
"222",1,1,"Baseline (EN Mean)"
"223",1,1,"Baseline (EN Mean)"
"224",1,1,"Baseline (EN Mean)"
"225",1,1,"Baseline (EN Mean)"
"226",1,1,"Baseline (EN Mean)"
"227",1,1,"Baseline (EN Mean)"
"228",1,1,"Baseline (EN Mean)"
"229",1,1,"Baseline (EN Mean)"
"230",1,1,"Baseline (EN Mean)"
"231",1,1,"Baseline (EN Mean)"
"232",1,1,"Baseline (EN Mean)"
"233",1,1,"Baseline (EN Mean)"
"234",1,1,"Baseline (EN Mean)"
"235",1,1,"Baseline (EN Mean)"
"236",1,1,"Baseline (EN Mean)"
"237",1,1,"Baseline (EN Mean)"
"238",1,1,"Baseline (EN Mean)"
"239",1,1,"Baseline (EN Mean)"
