"V1","V2","V3"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
0.00156313180433001,0.0015,"Baseline (RR Mean)"
0.00790162861841523,0.0066723163841808,"Baseline (RR Mean)"
0.0142058201151762,0.012183615819209,"Baseline (RR Mean)"
0.0203897366978479,0.018861581920904,"Baseline (RR Mean)"
0.0768492452240749,0.074545197740113,"Baseline (RR Mean)"
0.333777062592468,0.33235593220339,"Baseline (RR Mean)"
0.712061855670103,0.713,"Baseline (RR Mean)"
0.971494845360825,0.971,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
1,1,"Baseline (RR Mean)"
